N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
42,한국조선해양,"95,800","1,300",+1.38%,"5,000","67,801","70,773",15.80,"403,478",317.22,1.40,
43,빅히트,"184,500","4,500",+2.50%,500,"65,726","35,624",3.43,"811,778",N/A,56.47,
44,신풍제약,"123,000",0,0.00%,500,"65,172","52,985",10.22,"768,497","3,727.27",0.80,
45,KT,"23,500",0,0.00%,"5,000","61,361","261,112",43.60,"788,731",10.01,4.61,
46,미래에셋대우,"9,440",10,-0.11%,"5,000","60,918","645,316",14.46,"1,248,359",11.24,7.56,
47,KODEX 200,"34,030",35,+0.10%,0,"59,348","174,400",11.79,"6,316,072",N/A,N/A,
48,CJ제일제당,"370,500",500,+0.14%,"5,000","55,776","15,054",23.58,"39,258",9.33,3.16,
49,LG디스플레이,"15,150",500,+3.41%,"5,000","54,209","357,816",22.53,"2,431,331",-2.20,-22.35,
50,코웨이,"72,200",700,+0.98%,500,"53,283","73,800",60.80,"182,220",15.18,30.74,
51,SK케미칼,"442,000","1,000",-0.23%,"5,000","51,897","11,741",14.42,"431,333",22.74,1.51,
52,LG유플러스,"11,450",50,+0.44%,"5,000","49,992","436,611",31.06,"2,306,085",6.31,6.30,
53,강원랜드,"23,100",450,+1.99%,500,"49,420","213,940",23.46,"1,051,438",-243.16,9.16,
54,포스코케미칼,"80,000",300,+0.38%,500,"48,791","60,988",7.30,"156,287",94.34,11.57,
55,오리온,"121,000","3,000",-2.42%,500,"47,839","39,536",42.46,"140,277",18.05,14.24,
56,금호석유,"152,500","1,500",+0.99%,"5,000","46,463","30,468",27.85,"327,565",17.45,11.84,
57,녹십자,"382,000","7,000",-1.80%,"5,000","44,643","11,687",19.38,"242,431",747.55,-0.35,
58,아모레G,"53,800","3,000",+5.91%,500,"44,362","82,458",19.63,"542,002",73.40,4.12,
59,한국타이어앤테크놀로지,"35,700",700,+2.00%,500,"44,223","123,875",38.02,"1,003,197",14.92,6.03,
60,유한양행,"66,000",0,0.00%,"1,000","44,125","66,857",21.05,"462,474",26.62,2.43,
61,한진칼,"73,700",0,0.00%,"2,500","43,609","59,171",17.22,"453,845",-11.35,-17.56,
62,이마트,"155,500","2,500",-1.58%,"5,000","43,347","27,876",32.05,"219,588",7.80,2.76,
63,현대제철,"31,850",50,-0.16%,"5,000","42,502","133,446",19.13,"636,776",-15.80,0.10,
64,한국금융지주,"74,800",800,+1.08%,"5,000","41,683","55,726",30.55,"280,787",7.08,18.14,
65,HMM,"12,750",200,+1.59%,"5,000","41,658","326,726",6.47,"10,084,731",-41.13,-55.46,
66,대한항공,"23,750",550,+2.37%,"5,000","41,375","174,210",12.03,"5,895,457",-3.54,-22.09,
67,현대중공업지주,"258,000","3,500",+1.38%,"5,000","40,760","15,799",17.81,"29,471",-18.19,2.20,
68,삼성카드,"34,750",0,0.00%,"5,000","40,261","115,859",10.06,"156,017",10.74,5.04,
69,한미약품,"327,500",0,0.00%,"2,500","38,786","11,843",14.38,"108,492",107.59,7.30,
70,CJ대한통운,"169,500","3,500",+2.11%,"5,000","38,667","22,812",22.07,"111,923",42.78,1.41,
71,LG이노텍,"163,000","2,000",+1.24%,"5,000","38,577","23,667",35.40,"184,737",29.55,4.73,
72,한미사이언스,"58,200",200,+0.34%,500,"38,418","66,011",1.81,"236,818",135.66,4.73,
73,맥쿼리인프라,"10,950",0,0.00%,0,"38,220","349,044",14.76,"449,091",N/A,N/A,
74,삼성중공업,"5,990",200,+3.45%,"5,000","37,737","630,000",15.10,"7,093,311",-2.07,-21.88,
75,두산중공업,"14,800",150,+1.02%,"5,000","37,465","253,141",9.73,"2,646,732",-3.22,-14.73,
76,현대건설,"33,600",50,+0.15%,"5,000","37,416","111,356",19.90,"663,261",11.12,6.30,
77,롯데지주,"34,300",500,+1.48%,200,"35,984","104,909",11.37,"216,668",-5.17,-5.21,
78,GS,"37,450",550,+1.49%,"5,000","34,797","92,915",20.12,"231,829",-30.98,6.26,
79,삼성증권,"38,250",200,+0.53%,"5,000","34,157","89,300",25.79,"415,623",10.49,8.15,
80,DB손해보험,"45,650",100,+0.22%,500,"32,320","70,800",40.57,"197,120",5.97,6.92,
81,두산밥캣,"32,100",650,+2.07%,500,"32,180","100,249",20.46,"246,118",17.58,7.05,
82,호텔신라,"80,900","2,000",+2.53%,"5,000","31,752","39,248",20.95,"625,979",-24.55,20.16,
83,에스원,"82,300",300,-0.36%,500,"31,273","37,999",55.30,"65,004",21.14,11.32,
84,현대차2우B,"85,600",600,+0.71%,"5,000","31,232","36,485",60.22,"87,004",12.33,N/A,
85,SKC,"82,900",400,-0.48%,"5,000","31,116","37,535",8.11,"155,586",36.80,3.86,
86,더존비즈온,"102,000",500,-0.49%,500,"30,696","30,094",45.06,"62,771",63.67,18.78,
87,NH투자증권,"10,800",0,0.00%,"5,000","30,392","281,409",14.55,"837,388",7.07,9.12,
88,동서,"29,100",100,+0.34%,500,"29,013","99,700",5.06,"90,476",21.09,10.53,
89,대림산업,"82,900","1,000",+1.22%,"5,000","28,849","34,800",38.55,"268,327",4.39,11.74,
90,롯데쇼핑,"101,000","4,300",+4.45%,"5,000","28,572","28,289",11.85,"302,865",-2.10,-8.14,
91,쌍용양회,"5,550",0,0.00%,"1,000","27,964","503,860",2.85,0,20.94,7.02,
92,대우조선해양,"25,500",500,+2.00%,"5,000","27,359","107,291",9.06,"397,726",-29.41,-1.22,
93,휠라홀딩스,"44,900",350,+0.79%,"1,000","27,278","60,752",45.43,"207,007",15.14,23.81,
94,LG화학우,"353,500","1,500",-0.42%,"5,000","27,180","7,689",59.43,"27,025",33.03,N/A,
95,한국가스공사,"29,000",450,+1.58%,"5,000","26,771","92,313",8.94,"221,008",-5.99,0.48,
96,GS리테일,"34,300",200,+0.59%,"1,000","26,411","77,000",14.49,"204,949",15.81,6.25,
97,삼성엔지니어링,"13,400",200,+1.52%,"5,000","26,264","196,000",26.27,"3,752,475",10.16,24.62,
98,키움증권,"115,000",500,-0.43%,"5,000","25,460","22,139",25.02,"90,649",7.71,16.97,
99,GS건설,"31,750",500,+1.60%,"5,000","25,431","80,098",28.34,"452,710",6.66,11.79,
100,메리츠증권,"3,745",10,+0.27%,"1,000","25,315","675,962",12.78,"1,686,258",5.10,15.06,
101,제일기획,"21,350",300,+1.43%,200,"24,561","115,041",31.79,"206,952",19.10,15.09,
102,TIGER 200,"34,020",70,+0.21%,0,"23,882","70,200",2.34,"2,078,846",N/A,N/A,
103,한국항공우주,"24,350",500,+2.10%,"5,000","23,735","97,475",14.58,"503,847",15.19,15.84,
104,하이트진로,"33,700",200,+0.60%,"5,000","23,635","70,134",10.27,"350,624",31.85,-3.86,
105,한샘,"99,800",200,-0.20%,"1,000","23,487","23,534",23.21,"117,414",44.91,7.32,
106,CJ,"80,000",300,+0.38%,"5,000","23,342","29,177",18.89,"67,034",13.29,6.24,
107,두산퓨얼셀,"41,550",350,+0.85%,100,"23,058","55,494",11.03,"508,374",121.85,N/A,
108,BGF리테일,"132,500","2,000",+1.53%,"1,000","22,901","17,284",31.37,"19,041",17.68,26.46,
109,신세계,"232,000","3,000",+1.31%,"5,000","22,841","9,845",25.97,"92,222",-8.55,14.24,
110,KODEX 200선물인버스2X,"3,435",10,-0.29%,0,"22,740","662,000",1.03,"130,433,618",N/A,N/A,
111,씨에스윈드,"126,000","2,000",-1.56%,500,"21,780","17,286",8.52,"232,124",51.58,9.92,
112,팬오션,"4,050",0,0.00%,"1,000","21,650","534,570",11.41,"2,507,587",16.01,5.49,
113,현대해상,"24,050",100,+0.42%,500,"21,501","89,400",40.48,"246,609",7.07,6.23,
114,현대차우,"85,300",100,-0.12%,"5,000","20,776","24,357",55.26,"45,762",12.29,N/A,
